what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363574268747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363574296547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363574299567
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363574372127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363574380327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363574380427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363574421027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363574422037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363574426702
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363574430272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363574443992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363574444092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363574445767
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363574445882
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1363574446382
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1363574446417
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1363574446447
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1363574446462
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1363574446492
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1363574446522
